pathway	pancancer	ontology
3'-5'-exoribonuclease activity	234	Molecular Function
polygalacturonase activity	234	Molecular Function
response to reactive oxygen species	233	Biological Process
alkyl hydroperoxide reductase activity	233	Molecular Function
Indole-3-acetate biosynthesis II	233	Metacyc
poly-hydroxybutyrate biosynthetic process	232	Biological Process
exodeoxyribonuclease V activity	232	Molecular Function
tetracenomycin C biosynthetic process	231	Biological Process
glycine C-acetyltransferase activity	231	Molecular Function
cell wall	230	Cellular Component
intramolecular lyase activity	230	Molecular Function
ornithine metabolic process	229	Biological Process
carbon-carbon lyase activity	229	Molecular Function
isocitrate lyase activity	229	Molecular Function
Di-myo-inositol phosphate biosynthesis	229	Metacyc
Phosphatidylinositol biosynthesis I (bacteria)	229	Metacyc
nitrate reductase complex	228	Cellular Component
[protein-PII] uridylyltransferase activity	228	Molecular Function
glutathione hydrolase activity	228	Molecular Function
L-seryl-tRNASec selenium transferase activity	228	Molecular Function
intein-mediated protein splicing	227	Biological Process
ion transmembrane transporter activity	227	Molecular Function
oxoglutarate dehydrogenase (succinyl-transferring) activity	227	Molecular Function
beta-lactamase activity	226	Molecular Function
inositol catabolic process	224	Biological Process
Acrylonitrile degradation I	224	Metacyc
Indole-3-acetate biosynthesis IV (bacteria)	224	Metacyc
MPS IIIB - Sanfilippo syndrome B	224	Reactome
cellular response to heat	223	Biological Process
proline transport	223	Biological Process
proline:sodium symporter activity	223	Molecular Function
ribosomal large subunit binding	223	Molecular Function
single-stranded RNA binding	223	Molecular Function
sodium ion binding	223	Molecular Function
proton-transporting ATPase activity, rotational mechanism	222	Molecular Function
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	222	Reactome
Regulation of Glucokinase by Glucokinase Regulatory Protein	222	Reactome
bacterial-type flagellum filament	221	Cellular Component
glutaminyl-tRNA aminoacylation	220	Biological Process
shikimate metabolic process	220	Biological Process
photosynthetic electron transport in photosystem II	220	Biological Process
acetylglutamate kinase activity	220	Molecular Function
Caffeine metabolism	219	KEGG
ion transport	218	Biological Process
peptidoglycan glycosyltransferase activity	218	Molecular Function
transketolase activity	218	Molecular Function
protein heterodimerization activity	217	Molecular Function
telomere maintenance	216	Biological Process
malate dehydrogenase activity	216	Molecular Function
p-aminobenzoyl-glutamate transmembrane transport	214	Biological Process
secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	214	Molecular Function
chitin binding	213	Molecular Function
Proline catabolism	213	Reactome
heme A biosynthetic process	212	Biological Process
protein-DNA covalent cross-linking	212	Biological Process
xylan catabolic process	212	Biological Process
type III protein secretion system complex	212	Cellular Component
blue light photoreceptor activity	212	Molecular Function
cobyrinic acid a,c-diamide synthase activity	212	Molecular Function
alpha-glucuronidase activity	212	Molecular Function
Phase I - Functionalization of compounds	212	Reactome
L-lysine transmembrane transport	211	Biological Process
L-lysine efflux transmembrane transporter activity	211	Molecular Function
Sorbitol biosynthesis II	211	Metacyc
vesicle-mediated transport	210	Biological Process
CDP-archaeol biosynthesis	210	Metacyc
4-methylcatechol degradation (ortho cleavage)	209	Metacyc
1-acylglycerol-3-phosphate O-acyltransferase activity	208	Molecular Function
Palmitoleate biosynthesis III (cyanobacteria)	208	Metacyc
Creatinine degradation II	208	Metacyc
cellular response to DNA damage stimulus	207	Biological Process
protein arginylation	207	Biological Process
type IV pilus-dependent motility	207	Biological Process
arginyltransferase activity	207	Molecular Function
ATPase-coupled polyamine transmembrane transporter activity	207	Molecular Function
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	207	Reactome
cellular respiration	206	Biological Process
chaperone-mediated protein folding	206	Biological Process
formate dehydrogenase (NAD+) activity	206	Molecular Function
Adenosine nucleotides degradation III	206	Metacyc
amino-acid racemase activity	205	Molecular Function
nickel cation transmembrane transport	204	Biological Process
dolichyl-phosphate beta-D-mannosyltransferase activity	204	Molecular Function
Protein N-glycosylation (Haloferax volcanii)	204	Metacyc
Defective DPM1 causes DPM1-CDG (CDG-1e)	204	Reactome
Defective DPM2 causes DPM2-CDG (CDG-1u)	204	Reactome
Defective DPM3 causes DPM3-CDG (CDG-1o)	204	Reactome
Synthesis of dolichyl-phosphate mannose	204	Reactome
amine metabolic process	203	Biological Process
double-strand break repair	202	Biological Process
oxidoreductase activity, acting on the CH-NH group of donors	202	Molecular Function
triphosphoribosyl-dephospho-CoA synthase activity	202	Molecular Function
Cellulose degradation II (fungi)	202	Metacyc
fructose 1,6-bisphosphate metabolic process	201	Biological Process
Protein Pupylation and dePupylation	201	Metacyc
3',5'-cyclic-AMP phosphodiesterase activity	200	Molecular Function
histidinol dehydrogenase activity	200	Molecular Function
Mannitol cycle	200	Metacyc
carbohydrate transmembrane transport	199	Biological Process
adenosylhomocysteinase activity	199	Molecular Function
ammonia-lyase activity	199	Molecular Function
carboxylic ester hydrolase activity	199	Molecular Function
cellulose catabolic process	198	Biological Process
fimbrial usher porin activity	198	Molecular Function
Activation of ATR in response to replication stress	198	Reactome
response to metal ion	197	Biological Process
intracellular membrane-bounded organelle	197	Cellular Component
chloramphenicol O-acetyltransferase activity	197	Molecular Function
Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	197	Reactome
Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2	197	Reactome
O-linked glycosylation	197	Reactome
Nitrifier denitrification	196	Metacyc
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	196	Reactome
bacteriocin immunity	195	Biological Process
nucleus	195	Cellular Component
proton-transporting two-sector ATPase complex, catalytic domain	194	Cellular Component
oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor	194	Molecular Function
Activation of the pre-replicative complex	194	Reactome
5'-nucleotidase activity	193	Molecular Function
alkaline phosphatase activity	193	Molecular Function
Choline degradation IV	193	Metacyc
Glycine betaine biosynthesis II (Gram-positive bacteria)	193	Metacyc
L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	191	Biological Process
D-alanyl carrier activity	191	Molecular Function
homoserine O-succinyltransferase activity	191	Molecular Function
1,4-dihydroxy-6-naphthoate biosynthesis I	191	Metacyc
[glutamate-ammonia-ligase] adenylyltransferase activity	190	Molecular Function
1,4-dihydroxy-2-naphthoate octaprenyltransferase activity	190	Molecular Function
methylaspartate mutase activity	190	Molecular Function
guanyl-nucleotide exchange factor activity	190	Molecular Function
Demethylmenaquinol-4 biosynthesis	190	Metacyc
Demethylmenaquinol-6 biosynthesis I	190	Metacyc
Demethylmenaquinol-8 biosynthesis I	190	Metacyc
Demethylmenaquinol-9 biosynthesis	190	Metacyc
Pyrroloquinoline quinone biosynthesis	189	Metacyc
nickel cation transmembrane transporter activity	188	Molecular Function
oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	186	Molecular Function
L-glucose degradation	186	Metacyc
L-threonine degradation I	186	Metacyc
Putrescine biosynthesis III	186	Metacyc
pectin catabolic process	185	Biological Process
tRNA dihydrouridine synthesis	185	Biological Process
Chlorocyclohexane and chlorobenzene degradation	185	KEGG
ATP:ADP antiporter activity	184	Molecular Function
ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide	184	Metacyc
Biosynthesis of Lewis epitopes (H. pylori)	184	Metacyc
exodeoxyribonuclease V complex	183	Cellular Component
glycine reductase complex	183	Cellular Component
bacterial-type RNA polymerase core enzyme binding	183	Molecular Function
glycine reductase activity	183	Molecular Function
methylmalonate-semialdehyde dehydrogenase (acylating) activity	183	Molecular Function
2,4-dinitrotoluene degradation	183	Metacyc
nucleotide transport	182	Biological Process
hydrolase activity, acting on acid anhydrides	182	Molecular Function
MPS IIIC - Sanfilippo syndrome C	182	Reactome
glycolipid biosynthetic process	181	Biological Process
methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity	181	Molecular Function
pilus organization	180	Biological Process
ferredoxin-NADP+ reductase activity	180	Molecular Function
isochorismate synthase activity	180	Molecular Function
thiol-dependent ubiquitin-specific protease activity	180	Molecular Function
Salicylate biosynthesis I	180	Metacyc
Assembly of the pre-replicative complex	179	Reactome
xylulose metabolic process	178	Biological Process
acetaldehyde dehydrogenase (acetylating) activity	178	Molecular Function
RNA helicase activity	178	Molecular Function
xylulokinase activity	178	Molecular Function
tyrosine metabolic process	177	Biological Process
L-arabinose isomerase activity	177	Molecular Function
lipopolysaccharide binding	177	Molecular Function
L-lysine catabolic process to acetate	176	Biological Process
trehalose metabolic process	176	Biological Process
N-glycan trimming in the ER and Calnexin/Calreticulin cycle	176	Reactome
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity	175	Molecular Function
3-hydroxyisobutyryl-CoA hydrolase activity	174	Molecular Function
alpha,alpha-trehalase activity	174	Molecular Function
RNA-directed DNA polymerase activity	174	Molecular Function
Factor 420 polyglutamylation	174	Metacyc
siderophore biosynthetic process	173	Biological Process
ATPase activator activity	173	Molecular Function
NAD+ ADP-ribosyltransferase activity	173	Molecular Function
aromatic amino acid transport	172	Biological Process
glutamate catabolic process to 2-oxoglutarate	172	Biological Process
riboflavin transport	172	Biological Process
RNA-dependent DNA biosynthetic process	172	Biological Process
nucleosome	172	Cellular Component
aromatic amino acid transmembrane transporter activity	172	Molecular Function
diacylglycerol O-acyltransferase activity	172	Molecular Function
exodeoxyribonuclease III activity	172	Molecular Function
glutamate dehydrogenase (NAD+) activity	172	Molecular Function
riboflavin transmembrane transporter activity	172	Molecular Function
4-aminobutanoate degradation V	172	Metacyc
Ethylene biosynthesis IV (engineered)	172	Metacyc
Methanol oxidation to formaldehyde IV	172	Metacyc
galactoside 2-alpha-L-fucosyltransferase activity	171	Molecular Function
ion channel activity	171	Molecular Function
tetrahydrodipicolinate N-acetyltransferase activity	171	Molecular Function
polyhedral organelle	170	Cellular Component
ABO blood group biosynthesis	170	Reactome
tRNA 3'-terminal CCA addition	169	Biological Process
oleate hydratase activity	169	Molecular Function
succinyl-diaminopimelate desuccinylase activity	169	Molecular Function
chlorophyll biosynthetic process	168	Biological Process
cellular biogenic amine metabolic process	167	Biological Process
1,4-dihydroxy-6-naphthoate biosynthesis II	167	Metacyc
CDC6 association with the ORC:origin complex	167	Reactome
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	167	Reactome
1-phosphofructokinase activity	166	Molecular Function
Assembly of the ORC complex at the origin of replication	166	Reactome
E2F-enabled inhibition of pre-replication complex formation	166	Reactome
antibiotic catabolic process	165	Biological Process
uridine kinase activity	165	Molecular Function
isocitrate metabolic process	164	Biological Process
acetoin biosynthetic process	163	Biological Process
peptidyl-amino acid modification	163	Biological Process
acetolactate decarboxylase activity	163	Molecular Function
pyrimidine-nucleoside phosphorylase activity	163	Molecular Function
carboxyl-O-methyltransferase activity	162	Molecular Function
primary amine oxidase activity	162	Molecular Function
organic anion transport	161	Biological Process
NAD-dependent protein deacetylase activity	161	Molecular Function
organic anion transmembrane transporter activity	161	Molecular Function
tryptophan 2,3-dioxygenase activity	161	Molecular Function
Mannose type O-glycan biosynthesis	161	KEGG
pyrroloquinoline quinone biosynthetic process	160	Biological Process
GMP reductase complex	160	Cellular Component
GMP reductase activity	160	Molecular Function
homogentisate 1,2-dioxygenase activity	160	Molecular Function
Allantoin degradation to glyoxylate I	160	Metacyc
Allantoin degradation to glyoxylate III	160	Metacyc
Bacterial bioluminescence	160	Metacyc
cellular modified amino acid biosynthetic process	159	Biological Process
D-galactonate catabolic process	159	Biological Process
rescue of stalled ribosome	158	Biological Process
tryptophan catabolic process	158	Biological Process
3'(2'),5'-bisphosphate nucleotidase activity	158	Molecular Function
Isoquinoline alkaloid biosynthesis	158	KEGG
prosthetic group biosynthetic process	157	Biological Process
cellular aldehyde metabolic process	156	Biological Process
Nitrotoluene degradation	154	KEGG
Autoinducer AI-1 biosynthesis	154	Metacyc
Poly(3-o-beta-d-glucopyranosyl-n-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis	154	Metacyc
cellular copper ion homeostasis	153	Biological Process
tRNA (m1A) methyltransferase complex	153	Cellular Component
ATPase-coupled putrescine transmembrane transporter activity	153	Molecular Function
ATPase-coupled spermidine transmembrane transporter activity	153	Molecular Function
Vitamin K-epoxide cycle	152	Metacyc
methylmalonyl-CoA mutase activity	151	Molecular Function
RAB GEFs exchange GTP for GDP on RABs	151	Reactome
chromosome segregation	150	Biological Process
protein tyrosine/serine/threonine phosphatase activity	150	Molecular Function
ribulose-bisphosphate carboxylase activity	150	Molecular Function
2-arachidonoylglycerol biosynthesis	150	Metacyc
Cob(ii)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	150	Metacyc
CRMPs in Sema3A signaling	150	Reactome
type VI protein secretion system complex	149	Cellular Component
2'-5'-RNA ligase activity	149	Molecular Function
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	149	Molecular Function
proline catabolic process to glutamate	148	Biological Process
[acyl-carrier-protein] phosphodiesterase activity	148	Molecular Function
polynucleotide adenylyltransferase activity	148	Molecular Function
RMTs methylate histone arginines	148	Reactome
TYSND1 cleaves peroxisomal proteins	148	Reactome
mRNA polyadenylation	147	Biological Process
propionate catabolic process, 2-methylcitrate cycle	147	Biological Process
benzoate transport	146	Biological Process
polyketide metabolic process	146	Biological Process
rhamnose catabolic process	146	Biological Process
4-hydroxyphenylpyruvate dioxygenase activity	146	Molecular Function
arginine N-succinyltransferase activity	146	Molecular Function
benzoate transmembrane transporter activity	146	Molecular Function
kynureninase activity	146	Molecular Function
L-rhamnose isomerase activity	146	Molecular Function
Aclacinomycin biosynthesis	146	Metacyc
Daunorubicin biosynthesis	146	Metacyc
L-homocysteine biosynthesis	146	Metacyc
anaerobic respiration	145	Biological Process
tRNA wobble position uridine thiolation	145	Biological Process
ubiquitin-dependent protein catabolic process via the N-end rule pathway	145	Biological Process
citrate (Si)-synthase activity	145	Molecular Function
Polycyclic aromatic hydrocarbon degradation	145	KEGG
4-sulfocatechol degradation	145	Metacyc
lactose catabolic process via tagatose-6-phosphate	144	Biological Process
transition metal ion transport	144	Biological Process
ferredoxin hydrogenase complex	144	Cellular Component
oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	144	Molecular Function
cysteine biosynthetic process	143	Biological Process
diaminopropionate ammonia-lyase activity	142	Molecular Function
galactose catabolic process via UDP-galactose	141	Biological Process
generation of precursor metabolites and energy	141	Biological Process
Lewis blood group biosynthesis	141	Reactome
inositol biosynthetic process	140	Biological Process
inositol-3-phosphate synthase activity	140	Molecular Function
membrane organization	139	Biological Process
Coenzyme M biosynthesis II	139	Metacyc
nucleobase transport	138	Biological Process
response to copper ion	138	Biological Process
host outer membrane	138	Cellular Component
defense response to bacterium	137	Biological Process
viral process	137	Biological Process
cyanate hydratase activity	137	Molecular Function
Allantoin degradation to ureidoglycolate II (ammonia producing)	137	Metacyc
L-ascorbate biosynthesis VI (engineered pathway)	137	Metacyc
PKMTs methylate histone lysines	137	Reactome
electron transport coupled proton transport	136	Biological Process
acetyl-CoA:L-glutamate N-acetyltransferase activity	136	Molecular Function
GTP cyclohydrolase activity	136	Molecular Function
small molecule binding	136	Molecular Function
Rho GTPase cycle	136	Reactome
replisome	135	Cellular Component
carbohydrate transmembrane transporter activity	135	Molecular Function
hydroxymethylglutaryl-CoA synthase activity	135	Molecular Function
Allantoin degradation to ureidoglycolate I (urea producing)	135	Metacyc
regulation of ATPase activity	134	Biological Process
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	134	Molecular Function
arginase activity	134	Molecular Function
L-aspartate oxidase activity	134	Molecular Function
Canavanine degradation	134	Metacyc
protein ubiquitination	133	Biological Process
tRNA (adenine-N6-)-methyltransferase activity	133	Molecular Function
Superpathway of photosynthetic hydrogen production	133	Metacyc
Ion homeostasis	133	Reactome
Macroautophagy	133	Reactome
phospholipid transport	132	Biological Process
phosphorus metabolic process	131	Biological Process
fumarylacetoacetase activity	131	Molecular Function
plasmid maintenance	130	Biological Process
small GTPase mediated signal transduction	130	Biological Process
aspartate dehydrogenase activity	130	Molecular Function
NAD+ synthase activity	130	Molecular Function
(R)-cysteate degradation	130	Metacyc
Sulfolactate degradation III	130	Metacyc
2-keto-3-deoxygluconate transmembrane transport	129	Biological Process
galactitol transport	129	Biological Process
2-keto-3-deoxygluconate:proton symporter activity	129	Molecular Function
galactitol transmembrane transporter activity	129	Molecular Function
L-aspartate:2-oxoglutarate aminotransferase activity	129	Molecular Function
peptidyl-lysine modification to peptidyl-hypusine	128	Biological Process
lipid binding	128	Molecular Function
sarcosine oxidase activity	128	Molecular Function
Pectin degradation I	128	Metacyc
4-phosphoerythronate dehydrogenase activity	127	Molecular Function
bacterial-type flagellum basal body, distal rod	126	Cellular Component
extracellular matrix	126	Cellular Component
photosystem II	126	Cellular Component
potassium channel activity	126	Molecular Function
S-methyl-5-thioadenosine phosphorylase activity	125	Molecular Function
Synthesis of dolichyl-phosphate-glucose	125	Reactome
polyphosphate metabolic process	124	Biological Process
4-aminobenzoate biosynthesis	124	Metacyc
Ferrichrome A biosynthesis	124	Metacyc
Acetylation	123	Reactome
carotenoid biosynthetic process	122	Biological Process
microtubule-based process	122	Biological Process
oxoglutarate dehydrogenase complex	122	Cellular Component
dihydrolipoyllysine-residue succinyltransferase activity	122	Molecular Function
N,N-dimethylaniline monooxygenase activity	122	Molecular Function
L-threonine degradation IV	122	Metacyc
Sulfoacetaldehyde degradation IV	122	Metacyc
Triethylamine degradation	122	Metacyc
Intraflagellar transport	122	Reactome
C-terminal protein methylation	121	Biological Process
lactate metabolic process	121	Biological Process
extracellular space	121	Cellular Component
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	121	Molecular Function
Steroid hormone biosynthesis	121	KEGG
Defective OGG1 Localization	121	Reactome
Defective OGG1 Substrate Binding	121	Reactome
Defective OGG1 Substrate Processing	121	Reactome
nitrate metabolic process	120	Biological Process
diacylglycerol kinase activity	120	Molecular Function
heme oxygenase (decyclizing) activity	120	Molecular Function
NAD(P)H dehydrogenase (quinone) activity	119	Molecular Function
sulfite reductase (NADPH) activity	119	Molecular Function
CMP-pseudaminate biosynthesis	119	Metacyc
bioluminescence	118	Biological Process
regulation of bacterial-type flagellum assembly	118	Biological Process
regulation of chemotaxis	118	Biological Process
2-aminoethylphosphonate-pyruvate transaminase activity	118	Molecular Function
2-aminoethylphosphonate degradation II	118	Metacyc
2-LTR circle formation	118	Reactome
RHO GTPases activate PKNs	118	Reactome
D-amino acid metabolic process	117	Biological Process
rhamnulokinase activity	117	Molecular Function
2-nitrobenzoate degradation I	117	Metacyc
Oxalate degradation III	117	Metacyc
Oxalate degradation VI	117	Metacyc
formaldehyde catabolic process	116	Biological Process
fucose catabolic process	116	Biological Process
mRNA processing	116	Biological Process
ubiquitin-dependent protein catabolic process	116	Biological Process
8-amino-7-oxononanoate synthase activity	116	Molecular Function
Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)	116	Reactome
Synaptic adhesion-like molecules	116	Reactome
phosphomannomutase activity	115	Molecular Function
tagatose-6-phosphate kinase activity	115	Molecular Function
Arachidonate production from DAG	115	Reactome
double-strand break repair via nonhomologous end joining	114	Biological Process
tetrahydrofolate metabolic process	114	Biological Process
alpha-amylase activity	114	Molecular Function
N-succinylarginine dihydrolase activity	114	Molecular Function
biotin binding	113	Molecular Function
deacetylase activity	113	Molecular Function
precorrin-2 dehydrogenase activity	113	Molecular Function
sirohydrochlorin ferrochelatase activity	113	Molecular Function
uroporphyrin-III C-methyltransferase activity	113	Molecular Function
selenocysteine biosynthetic process	112	Biological Process
pyruvate carboxylase activity	112	Molecular Function
S-methyl-5-thioribose kinase activity	112	Molecular Function
selenide, water dikinase activity	112	Molecular Function
S-methyl-5'-thioadenosine degradation I	112	Metacyc
LDL clearance	112	Reactome
lactate oxidation	111	Biological Process
GTPase activator activity	111	Molecular Function
Keratan sulfate biosynthesis	111	Reactome
N-Glycan antennae elongation	111	Reactome
VLDLR internalisation and degradation	111	Reactome
[isocitrate dehydrogenase (NADP+)] kinase activity	110	Molecular Function
Sitosterol degradation to androstenedione	110	Metacyc
Type IV lipoteichoic acid biosynthesis (S. pneumoniae)	110	Metacyc
Energy dependent regulation of mTOR by LKB1-AMPK	110	Reactome
Activation of BAD and translocation to mitochondria	110	Reactome
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	110	Reactome
[2Fe-2S] cluster assembly	109	Biological Process
response to arsenic-containing substance	109	Biological Process
Formate oxidation to CO2	109	Metacyc
phosphatidic acid biosynthetic process	108	Biological Process
calcium transmembrane transporter activity, phosphorylative mechanism	108	Molecular Function
Heme degradation I	108	Metacyc
regulation of RNA metabolic process	107	Biological Process
heme oxidation	107	Biological Process
ribonuclease inhibitor activity	107	Molecular Function
formate oxidation	106	Biological Process
glycine metabolic process	106	Biological Process
septin ring assembly	106	Biological Process
septin ring	106	Cellular Component
3-hydroxyanthranilate 3,4-dioxygenase activity	106	Molecular Function
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity	106	Molecular Function
4-oxopentanoate degradation	106	Metacyc
L-tryptophan degradation XII (Geobacillus)	106	Metacyc
Formation of tubulin folding intermediates by CCT/TriC	106	Reactome
Reduction of cytosolic Ca++ levels	106	Reactome
glycine betaine transport	105	Biological Process
beta-fructofuranosidase activity	105	Molecular Function
farnesyl-diphosphate farnesyltransferase activity	105	Molecular Function
squalene synthase activity	105	Molecular Function
5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	105	Molecular Function
Biosynthesis of various secondary metabolites - part 2	105	KEGG
2-aminoethylphosphonate biosynthesis	105	Metacyc
Dehydrophos biosynthesis	105	Metacyc
Fosfomycin biosynthesis	105	Metacyc
Methylphosphonate biosynthesis	105	Metacyc
Phosalacine biosynthesis	105	Metacyc
Phosphinothricin tripeptide biosynthesis	105	Metacyc
Rhizocticin A and B biosynthesis	105	Metacyc
Interferon gamma signaling	105	Reactome
Prefoldin mediated transfer of substrate to CCT/TriC	105	Reactome
cellular response to oxidative stress	104	Biological Process
nickel cation transport	104	Biological Process
protein carbamoylation	104	Biological Process
serine transport	104	Biological Process
threonine transport	104	Biological Process
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	104	Molecular Function
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	104	Molecular Function
Trehalose biosynthesis V	104	Metacyc
Interferon alpha/beta signaling	104	Reactome
Receptor Mediated Mitophagy	104	Reactome
chaperone-mediated protein complex assembly	103	Biological Process
acireductone dioxygenase [iron(II)-requiring] activity	103	Molecular Function
hydrolase activity, acting on acid halide bonds, in C-halide compounds	103	Molecular Function
Nitric oxide stimulates guanylate cyclase	103	Reactome
protein glycosylation	102	Biological Process
actin binding	102	Molecular Function
fucosyltransferase activity	102	Molecular Function
Arsenate detoxification III (thioredoxin)	102	Metacyc
D-glucarate degradation II	102	Metacyc
Condensation of Prometaphase Chromosomes	102	Reactome
protein kinase CK2 complex	101	Cellular Component
cellulase activity	101	Molecular Function
oxygen-dependent protoporphyrinogen oxidase activity	101	Molecular Function
nitrogenase activity	101	Molecular Function
protein kinase regulator activity	101	Molecular Function
Agmatine biosynthesis	101	Reactome
Signal transduction by L1	101	Reactome
WNT mediated activation of DVL	101	Reactome
glutathione transmembrane transport	100	Biological Process
tRNA methylthiolation	100	Biological Process
methylaspartate ammonia-lyase activity	100	Molecular Function
N6-threonylcarbomyladenosine methylthiotransferase activity	100	Molecular Function
protocatechuate 3,4-dioxygenase activity	100	Molecular Function
pyruvate, water dikinase activity	100	Molecular Function
tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	100	Molecular Function
OAS antiviral response	100	Reactome
DNA unwinding involved in DNA replication	99	Biological Process
lactose catabolic process	99	Biological Process
allantoicase activity	99	Molecular Function
galactose-6-phosphate isomerase activity	99	Molecular Function
lactate racemase activity	99	Molecular Function
mannosyltransferase activity	99	Molecular Function
toxin transport	98	Biological Process
aryl sulfotransferase activity	98	Molecular Function
ureidoglycolate lyase activity	98	Molecular Function
glycogen catabolic process	97	Biological Process
glycogen debranching enzyme activity	97	Molecular Function
Acetan biosynthesis	97	Metacyc
Diphthamide biosynthesis I (archaea)	97	Metacyc
Diphthamide biosynthesis II (eukaryotes)	97	Metacyc
L-ascorbate degradation II (bacterial, aerobic)	97	Metacyc
Retinol biosynthesis	97	Metacyc
Xanthan biosynthesis	97	Metacyc
Allantoin degradation to glyoxylate II	97	Metacyc
G protein-coupled receptor signaling pathway	96	Biological Process
2-oxoglutarate-dependent dioxygenase activity	96	Molecular Function
phosphoglycolate phosphatase activity	96	Molecular Function
purine-rich negative regulatory element binding	96	Molecular Function
RNA polymerase II transcription regulatory region sequence-specific DNA binding	96	Molecular Function
Post-translational modification: synthesis of GPI-anchored proteins	96	Reactome
acetyl-CoA biosynthetic process from acetate	95	Biological Process
DNA protection	95	Biological Process
purine nucleobase metabolic process	95	Biological Process
response to toxic substance	95	Biological Process
protein deubiquitination	95	Biological Process
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	95	Molecular Function
acetate-CoA ligase activity	95	Molecular Function
AMP binding	95	Molecular Function
phosphoric ester hydrolase activity	95	Molecular Function
sulfotransferase activity	95	Molecular Function
3',5'-cyclic-nucleotide phosphodiesterase activity	95	Molecular Function
Chlorinated phenols degradation	95	Metacyc
Nitrite-dependent anaerobic methane oxidation	95	Metacyc
Phenol degradation I (aerobic)	95	Metacyc
calcium ion transmembrane transport	94	Biological Process
glycerolipid biosynthetic process	94	Biological Process
fatty acid synthase activity	94	Molecular Function
methylisocitrate lyase activity	94	Molecular Function
nitrite reductase (NO-forming) activity	94	Molecular Function
Synthesis of Ketone Bodies	94	Reactome
aspartate family amino acid biosynthetic process	93	Biological Process
mannitol metabolic process	93	Biological Process
protein O-linked glycosylation	93	Biological Process
3,4-dihydroxybenzoate catabolic process	93	Biological Process
formimidoylglutamase activity	93	Molecular Function
glutaminyl-peptide cyclotransferase activity	93	Molecular Function
NAD(P)+ transhydrogenase (AB-specific) activity	93	Molecular Function
oxidoreductase activity, acting on iron-sulfur proteins as donors	93	Molecular Function
Arginomycin biosynthesis	93	Metacyc
Blasticidin S biosynthesis	93	Metacyc
Chloramphenicol biosynthesis	93	Metacyc
COPII-mediated vesicle transport	93	Reactome
negative regulation of DNA-dependent DNA replication initiation	92	Biological Process
fatty acid synthase complex	92	Cellular Component
chorismate lyase activity	92	Molecular Function
N-acetylneuraminate lyase activity	92	Molecular Function
4-hydroxybenzoate biosynthesis II (bacteria)	92	Metacyc
N-acetylneuraminate and N-acetylmannosamine degradation II	92	Metacyc
P-hbad biosynthesis	92	Metacyc
Phenolphthiocerol biosynthesis	92	Metacyc
Polybrominated dihydroxylated diphenyl ethers biosynthesis	92	Metacyc
Polybrominated phenols biosynthesis	92	Metacyc
Spongiadioxin C biosynthesis	92	Metacyc
Folding of actin by CCT/TriC	92	Reactome
Nuclear Receptor transcription pathway	92	Reactome
galactose transmembrane transport	91	Biological Process
guanine catabolic process	91	Biological Process
protein secretion by the type I secretion system	91	Biological Process
ribonucleoside-diphosphate reductase complex	91	Cellular Component
type I protein secretion system complex	91	Cellular Component
acylphosphatase activity	91	Molecular Function
guanine deaminase activity	91	Molecular Function
phenylalanine 4-monooxygenase activity	91	Molecular Function
L-tyrosine biosynthesis IV	91	Metacyc
cysteine transport	90	Biological Process
DNA ligation involved in DNA repair	90	Biological Process
glucose transmembrane transport	90	Biological Process
peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	90	Biological Process
photosynthesis, dark reaction	90	Biological Process
acireductone synthase activity	90	Molecular Function
DNA ligase activity	90	Molecular Function
